,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
0,2020-01-02,sh.601398,5.6268179200,5.7313702800,5.6173131600,5.6743417200,5.5887988800,234949397,1404442753.0000,2,0.087100,1,1.530600,6.868990,0.879641,2.521993,3.838070,0
1,2020-01-03,sh.601398,5.6743417200,5.7218655200,5.6648369600,5.6933512400,5.6743417200,152213047,911951562.0000,2,0.056500,1,0.335000,6.892002,0.882588,2.530442,3.850928,0
2,2020-01-06,sh.601398,5.6648369600,5.7503798000,5.6553322000,5.6743417200,5.6933512400,226509705,1359917424.0000,2,0.084000,1,-0.333900,6.868990,0.879641,2.521993,3.838070,0
3,2020-01-07,sh.601398,5.6838464800,5.7408750400,5.6838464800,5.7123607600,5.6743417200,116804353,701615827.0000,2,0.043300,1,0.670000,6.915014,0.885535,2.538891,3.863786,0
4,2020-01-08,sh.601398,5.6648369600,5.6743417200,5.6078084000,5.6173131600,5.7123607600,158559090,940552725.0000,2,0.058800,1,-1.663900,6.799955,0.870801,2.496647,3.799496,0
5,2020-01-09,sh.601398,5.6553322000,5.6648369600,5.5887988800,5.6173131600,5.6173131600,137713429,813806686.0000,2,0.051100,1,0.000000,6.799955,0.870801,2.496647,3.799496,0
6,2020-01-10,sh.601398,5.6173131600,5.6363226800,5.5697893600,5.6173131600,5.6173131600,97837773,576580178.0000,2,0.036300,1,0.000000,6.799955,0.870801,2.496647,3.799496,0
7,2020-01-13,sh.601398,5.6078084000,5.6363226800,5.5792941200,5.6363226800,5.6173131600,108991003,642791834.0000,2,0.040400,1,0.338400,6.822967,0.873748,2.505096,3.812354,0
8,2020-01-14,sh.601398,5.6268179200,5.6648369600,5.6173131600,5.6458274400,5.6363226800,136770059,812389848.0000,2,0.050700,1,0.168600,6.834473,0.875221,2.509320,3.818783,0
9,2020-01-15,sh.601398,5.6363226800,5.6458274400,5.5792941200,5.5887988800,5.6458274400,128890756,759512875.0000,2,0.047800,1,-1.010100,6.765438,0.866381,2.483973,3.780210,0
10,2020-01-16,sh.601398,5.5792941200,5.5983036400,5.5032560400,5.5127608000,5.5887988800,269031344,1572007903.0000,2,0.099800,1,-1.360500,6.673391,0.854593,2.450178,3.728778,0
